"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.877823347502642,2.64290690827215,-0.332143120423615,0.73978119115517
"age",0.0181432993937503,0.00288832040971026,6.28160896995852,0.000000000335086801320098
"age2",-0.00948918544657135,0.00377950208635423,-2.51069723729793,0.0120492989260189
"age3",-0.0105934809917979,0.00250763591734223,-4.22448925640913,0.0000239483275425995
"sexF",0.0392108980308773,0.014425196146306,2.71822286734857,0.00656336124569896
"hcc_date_init1",0.649029537641356,0.0423812407125694,15.3140759149334,0.0000000000000000000000000000000000000000000000000000615808668648982
"sodium_lab_miss1",-5.47865377217551,2.61925389057465,-2.09168488472628,0.0364667135213493
"sodium_lab",-0.0380317498882854,0.0197696615603483,-1.92374309353707,0.0543867935610812
"sodium_lab2",0.0207757574363096,0.0215152639432496,0.965628750412235,0.334229983580088
"creat_lab_miss1",-0.340109405564527,0.138362316273817,-2.45810719799932,0.0139671475924725
"creat_lab",-0.853391790061945,0.243943860189547,-3.49831223216214,0.000468212646006789
"creat_lab2",0.980763121236289,0.265407340575221,3.69531271859575,0.00021961631291674
"creat_lab3",0.0808012268775091,0.0769253089955488,1.0503854704332,0.293540923080113
"platelet_lab_miss1",-0.767566248186793,0.082618306688332,-9.29051052912943,0.000000000000000000015355002470144
"platelet_lab",-0.00560902937367135,0.00086069411833532,-6.51686732159835,0.0000000000717908721220936
"platelet_lab2",0.00264120254485255,0.000947039161676036,2.78890530796872,0.00528865256323295
"platelet_lab3",0.00486303020412701,0.000581137007465208,8.36813030603312,0.0000000000000000585396385312498
"albumin_lab_miss1",-0.178001423835489,0.0624196280399281,-2.85168991589675,0.00434874997373917
"albumin_lab",-0.160632589418661,0.0155622881725848,-10.3219133097431,0.000000000000000000000000560940323971024
"albumin_lab2",-0.00253088989227079,0.0843755536864838,-0.0299955352195362,0.976070613948703
"inr_lab_miss1",3.82178831382665,0.32344118210525,11.8160225885614,0.0000000000000000000000000000000322599624232614
"inr_lab",3.54270074302757,0.29580306713048,11.9765517558507,0.00000000000000000000000000000000471531575350632
"inr_lab2",-3.61949057643175,0.367263927533085,-9.85528472873418,0.000000000000000000000065032108519418
"inr_lab3",0.0130877385634017,0.152693123977711,0.0857126910659851,0.93169481324677
"bilirubin_lab_miss1",0.627432038551513,0.057626201949379,10.8879644558681,0.00000000000000000000000000131547609030542
"bilirubin_lab",0.67421940214477,0.0336632741919744,20.0283370625163,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031190032302814
"bilirubin_lab3",-0.663424277696803,0.0368209523113631,-18.0175752133403,0.00000000000000000000000000000000000000000000000000000000000000000000000141824805310356
"myocardial_date_init1",0.0131522025046188,0.0268771874421627,0.489344449932535,0.624597856760438
"heart_fail_date_init1",0.254759922810426,0.0193838587828909,13.1428899510601,0.00000000000000000000000000000000000000186948035855921
"periph_date_init1",-0.0836853035664817,0.0188808179391258,-4.43229227866578,0.000009323651094847
"cerebro_date_init1",0.006641496531596,0.0216427874849982,0.306868814204251,0.758943227195988
"dementia_date_init1",0.129027451559417,0.0358522777118459,3.59886344171615,0.000319610953874779
"pulmonary_date_init1",-0.0387108984369807,0.015740387146031,-2.4593358522787,0.0139194334442082
"rheumatic_date_init1",-0.0322251814100153,0.0288859311602316,-1.11560126731801,0.264592849409062
"ulcer_date_init1",0.103979396844528,0.0359810608119105,2.88983688913665,0.00385441761903928
"diab_unc_date_init1",0.00882544908983442,0.0167789193199579,0.525984357010219,0.598899075788484
"paralysis_date_init1",0.048536908130639,0.0527363620127078,0.920368912041053,0.357380008619269
"diab_com_date_init1",0.14653829065643,0.0201687386928553,7.26561501381047,0.000000000000371344811956596
"malignancy_date_init1",-0.000338684232688443,0.0224183101552518,-0.0151074826935206,0.987946431317771
"meta_cancer_date_init1",0.17907396570682,0.0439559769737001,4.07393892789516,0.0000462246079374736
"aids_date_init1",0.793686176909597,0.210198703414164,3.77588521726398,0.000159440405616964
"renal_mild_date_init1",0.000970022785832393,0.0213859197093251,0.0453580112062904,0.963821948722269
"renal_severe_date_init1",0.29999764853545,0.0346633972038909,8.65459455029341,0.00000000000000000494666962914175
"etiology_m0nALD",0.414606881342819,0.039845628809493,10.4053291096272,0.000000000000000000000000234444567382362
"etiology_m0nMETALD",0.470246691247908,0.0209322749645645,22.4651497290176,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000910046908755446
"etiology_m0nHCV",-0.0815345567295807,0.0224205944314422,-3.63659210637334,0.000276268885001141
"etiology_m0nHBV",-0.358874049445587,0.0621096024299275,-5.77807674506484,0.00000000755593440617654
"etiology_m0nBiliary",-0.459130321181678,0.0349740081982329,-13.1277581505478,0.00000000000000000000000000000000000000228316039889726
"etiology_m0nOther",-0.0143242239676469,0.0430257450491567,-0.33292215977391,0.739193041633016
"etiology_m0n2+ Etiologies",-0.0637971526295027,0.0264497260793195,-2.41201562686066,0.0158646015468816
"etiology_m0nUnknown",-0.0460956524565379,0.0460172560876663,-1.00170362980188,0.31648675307245
